Team,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
Savage Speeders,3,13,13,13,14,24,24,34,34,34,34,44
Mellow Yellow,7,7,8,18,18,23,23,23,23,24,34,41
Thunderbolts,0,5,15,17,24,27,28,30,35,36,36,41
Team Momo,5,5,9,12,17,17,23,23,23,33,35,39
O'rangers,0,1,4,4,14,15,15,19,23,26,30,31
Rojo Rollers,10,11,11,18,22,19,29,29,29,29,30,30
Jawbreakers,0,7,14,18,18,18,19,19,21,21,21,21
Balls of Chaos,0,-3,-1,0,1,2,5,10,17,21,21,21
Kobalts,2,3,3,3,6,13,13,13,13,20,20,20
Oceanics,1,1,1,1,1,1,1,1,11,11,18,19
Team Galactic,0,2,3,8,10,12,16,16,17,17,18,18
Team Primary,0,1,6,6,6,10,17,17,17,17,17,17
Chocolatiers,0,3,3,3,3,3,3,10,13,13,16,16
Snowballs,1,6,6,7,7,7,7,10,10,12,12,14
Limers ,0,2,2,2,2,2,3,4,4,4,9,12
Pinkies,4,6,6,6,6,6,8,9,10,15,15,12
