Team,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
Raspberry Racers,11,31,33,53,60,75,87,102,122,128,143,153,178,190,201,216
Green Ducks,20,29,41,53,65,90,98,100,111,119,139,164,184,188,198,204
Hazers,12,27,52,53,73,81,81,86,101,126,136,151,156,176,181,184
Mellow Yellow,5,12,22,33,58,65,80,87,95,104,105,107,116,127,142,149
Savage Speeders,25,50,59,67,67,71,80,83,89,104,116,122,126,135,135,146
O'rangers,2,2,9,12,20,40,51,62,74,84,89,93,97,102,127,139
Jungle Jumpers,1,9,9,24,30,40,42,67,76,78,89,90,101,126,134,138
Team Galactic,9,19,30,36,45,56,76,88,90,91,94,106,112,113,114,134
Balls of Chaos,4,16,20,24,27,29,34,43,48,59,66,77,80,86,106,131
Midnight Wisps,8,14,20,30,31,31,56,59,84,85,87,107,114,117,120,128
Crazy Cat's Eyes,7,9,24,49,64,70,80,86,93,96,100,107,122,122,124,125
Chocolatiers,15,18,19,26,36,37,43,63,73,78,84,87,97,104,116,121
Thunderbolts,10,21,41,46,51,63,67,75,76,83,83,83,91,101,110,119
Indigo Stars,6,10,15,24,35,40,47,47,51,55,63,71,83,98,102,112
Pinkies,0,5,8,10,12,21,22,26,26,46,71,80,80,88,95,97
Oceanics,3,4,12,12,16,19,22,32,35,47,56,61,62,64,70,70
