Racer,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Race12
TTA,1,23,16,11,2,24,15,8,20,13,13(Red Tarantula),19
BPL,4,2,1,12,6,8,4,5,14,17,19,15
BSK,5,9,8,31,26,23,1,18,5,3,1,5
H2B,7,10,30,25,20,13,10,19,13,15,6,1
SRT,9,3,9,32,12,12,12,4,19,10,20,10
OLM,10,22,22,14,33,26,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
SMA,11,32,26,26,4,32,7,17,7,1,17,13
RTA,13,13,18,18,11,1,5,3,17,4,15,2
WWW,14,11,32,27,28,22,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
MMS,16,28,17,9,24,11,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
GSY,17,24,11,1,9,15,18,14,8,8,2,12
SLR,19,8,28,21,23,10,6,15,4,5,7,20
FSY,21,1,10,15,10,31,17,20,1,18,3,9
SBL,23,19,24,8,3,9,2,2,6,20,18,7
DON,24,31,23,30,15,3,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BMO,25,30,25,33,25,21,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
WOD,26,12,7,3,29,28,9,9,12,16,10,11
CYE,28,26,19,20,13,5,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
RFR,29,29,15,16,8,33,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
OBL,30,18,31,29,31,6,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
TFS,31,14,5,7,21,30,8,1,16,6,11,8
SST,32,21,33,23,30,7,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BLF,20,25,14,17,32,4,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
SUM,22,33,29,19,19,2,19,13,18,7,16,17
BLA,33,27,13,28,27,27,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
POL,6,7,12,10,5,14,11,6,2,19,5,14
MMM,2,17,6,5,18,18,3,7,9,9,4,4
QUI,18,15,21,24,14,25,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
GHO,12,6,2,4,1,29,20,12,3,11,14,16
DRA,8,4,4,6,7,19,13,10,10,12,8,18
COB,27,20,27,22,16,20,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
ELC,3,5,3,13,17,16,14,11,11,14,12,3
CMT,15,16,20,2,22,17,16,16,15,2,9,6
