Racer,Winner,Runner-up,3rd,Points
Tarantula,TTA,0,2,0,121
Big Pearl,BPL,1,1,1,173
Blue Smoke,BSK,0,0,1,98
H2 Blue,H2B,0,1,1,99
Super Turtle,SRT,0,0,0,89
Starman,SMA,1,0,0,142
Rastafarian,RTA,0,0,0,99
Glassy,GSY,0,0,0,92
Slimer,SLR,2,0,1,150
Fantasy,FSY,0,0,1,122
Silver Bolt,SBL,0,1,1,104
Wisp Of Darkness,WOD,0,0,1,102
The Flash,TFS,0,1,1,123
Summer Sky,SUM,2,0,0,126
Pollo Loco,POL,1,1,1,141
Marbly McMarbleface,MMM,1,1,0,144
Ghost Plasma,GHO,1,3,0,194
Dragon's Egg,DRA,1,0,1,171
El Capitan,ELC,2,0,2,144
Comet,CMT,0,0,0,66
