Racer,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Race12,Race13
DRA,10,20,34,40,51,58,78,80,81,89,89,101,135
RN3,7,19,21,41,43,60,70,90,90,95,98,112,134
SLI,6,6,6,15,27,27,33,36,56,65,85,102,130
QUI,4,13,33,37,57,71,75,92,106,106,123,125,125
ELC,5,5,14,25,39,39,50,59,64,75,79,99,111
H2B,17,17,17,31,31,35,38,42,45,45,53,60,100
GLA,2,8,14,19,23,29,43,50,52,69,80,89,95
CCE,20,20,25,32,33,45,50,60,68,82,83,87,94
BLA,12,17,24,41,50,58,59,59,69,69,75,75,93
LOP,8,25,29,41,41,50,59,60,67,67,67,68,92
POL,0,7,7,7,12,32,49,60,64,68,68,71,87
FAN,0,8,25,33,43,53,53,59,59,66,76,76,86
BBL,14,14,22,32,32,43,43,48,65,68,73,81,85
NEM,0,11,22,24,41,41,43,55,55,55,64,74,83
SUM,11,25,26,26,29,31,31,39,50,62,69,80,80
DON,9,11,21,22,30,30,30,30,40,46,58,63,68
WOD,0,3,15,15,21,24,25,25,31,51,53,53,67
BPL,0,20,23,23,23,28,36,50,50,52,52,52,55
COM,1,5,5,8,15,16,28,28,28,29,29,35,55
GHO,3,3,3,3,3,3,10,10,22,32,46,46,54
