Racer,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Race12,Race13
DRA,6,6,3,10,5,9,1,14,15,8,0,4,2
RN3,9,4,14,1,14,2,6,1,DNF,11,13,3,5
SLI,10,DNF,DNF,7,4,0,10,13,1,7,1,2,3
QUI,12,7,1,12,1,3,12,2,3,0,2,14,DNF
ELC,11,DNF,7,5,3,DNF,5,7,11,5,12,1,10
H2B,2,DNF,0,3,DNF,12,13,12,13,0,8,9,1
GLA,14,10,10,11,12,10,3,9,14,2,5,7,15
CCE,1,DNF,11,9,15,4,11,6,8,3,15,12,14
BLA,4,11,9,2,7,8,15,0,6,0,10,0,7
LOP,8,2,12,4,DNF,7,7,15,9,DNF,0,15,4
POL,0,9,0,DNF,11,1,2,5,12,12,DNF,13,8
FAN,0,8,2,8,6,6,DNF,10,DNF,9,6,DNF,11
BBL,3,DNF,8,6,0,5,DNF,11,2,13,11,8,17
NEM,DNF,5,5,14,2,DNF,14,4,DNF,DNF,7,6,12
SUM,5,3,15,DNF,13,14,0,8,5,4,9,5,DNF
DON,7,14,6,15,8,0,0,DNF,6,10,4,11,16
WOD,0,13,4,DNF,10,13,15,0,10,1,14,0,9
BPL,DNF,1,13,DNF,DNF,11,8,3,DNF,14,0,0,18
COM,15,12,0,13,9,15,4,0,DNF,15,DNF,10,6
GHO,13,DNF,DNF,DNF,DNF,0,9,0,4,6,3,0,13
