Racer,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Race12,Race13
DRA,10,10,14,6,11,7,20,2,1,8,0,12,34
RN3,7,12,2,20,2,17,10,20,0,5,3,14,22
SLI,6,0,0,9,12,0,6,3,20,9,20,17,28
QUI,4,9,20,4,20,14,4,17,14,0,17,2,0
ELC,5,0,9,11,14,0,11,9,5,11,4,20,12
H2B,17,0,0,14,0,4,3,4,3,0,8,7,40
GLA,2,6,6,5,4,6,14,7,2,17,11,9,6
CCE,20,0,5,7,1,12,5,10,8,14,1,4,7
BLA,12,5,7,17,9,8,1,0,10,0,6,0,18
LOP,8,17,4,12,0,9,9,1,7,0,0,1,24
POL,0,7,0,0,5,20,17,11,4,4,0,3,16
FAN,0,8,17,8,10,10,0,6,0,7,10,0,10
BBL,14,0,8,10,0,11,0,5,17,3,5,8,4
NEM,0,11,11,2,17,0,2,12,0,0,9,10,9
SUM,11,14,1,0,3,2,0,8,11,12,7,11,0
DON,9,2,10,1,8,0,0,0,10,6,12,5,5
WOD,0,3,12,0,6,3,1,0,6,20,2,0,14
BPL,0,20,3,0,0,5,8,14,0,2,0,0,3
COM,1,4,0,3,7,1,12,0,0,1,0,6,20
GHO,3,0,0,0,0,0,7,0,12,10,14,0,8
