Marble,Racer,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Race11,Race12,Race13
Crazy Cat's Eye,CCE,1,16,13,7,20,3,1,18,9,14,3,10,8
H2 Blue,H2B,2,15,12,5,8,18,20,4,7,17,12,1,15
Blizzard Blaster,BBL,12,19,2,10,18,6,8,13,6,8,14,4,11
Black Knight,BLA,13,4,16,19,6,8,3,10,20,16,2,8,12
Summer Sky,SUM,19,6,18,4,9,16,15,20,4,6,9,2,7
Dragon's Egg,DRA,14,3,11,17,12,7,4,14,13,10,18,6,6
Deep Ocean,DON,7,14,10,18,4,19,17,3,19,1,8,20,17
Lollipop,LOP,8,7,17,2,14,10,18,2,15,3,13,14,16
Red Number 3,RN3,3,8,19,6,19,13,16,7,12,18,4,19,20
Slimer,SLI,15,9,7,11,3,14,9,8,2,11,20,3,1
El Capitan,ELC,9,5,14,13,1,17,12,11,18,5,15,7,5
Quicksilver,QUI,16,12,3,20,10,2,13,17,1,20,5,9,18
Ghost Plasma,GHO,6,20,8,3,17,12,6,16,3,15,11,18,10
Glassy,GSY,10,18,1,14,15,9,7,12,17,2,19,5,3
Comet,COM,11,17,6,12,19,4,19,1,11,4,17,12,2
Pollo Loco,POL,18,1,9,1,15,5,5,15,8,13,6,17,5
Wisp of Darkness,WOD,17,2,5,15,13,11,11,9,5,19,10,16,9
Fantasy,FSY,20,13,4,16,11,1,2,19,10,7,16,11,19
Big Pearl,BPL,5,10,20,8,2,15,10,6,14,12,1,13,4
Nemo,NEM,4,11,15,19,7,20,14,5,16,9,7,15,14
