Marble,HashTag,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8
Summer Sky,,2,17,20,5,19,4,1,16
Black Knight,,6,11,12,7,15,10,6,11
Deep Ocean,,1,16,18,3,7,12,14,9
Phoenix,,3,18,13,8,12,7,2,17
Grasshopper,,5,20,2,17,8,13,15,10
Blue Moon,,4,19,10,15,3,18,12,7
Quicksilver,,19,4,11,6,17,2,13,8
Superball,,8,13,1,16,20,5,3,18
Slimer,,17,2,14,9,14,9,10,15
Lollipop,,7,12,15,10,1,16,7,12
Crazy Cat's Eye,,14,10,17,2,18,3,17,2
Nemo,,12,7,8,13,5,20,11,6
Ghost Plasma,,11,6,4,19,6,11,18,3
Big Pearl,,10,15,7,12,9,14,20,5
Marbly McMarbleface,,9,14,5,20,10,15,19,4
Dragon's Egg,,18,3,19,4,13,8,5,20
Ducktape,,16,1,3,18,2,17,4,19
Rastafarian,,13,8,16,1,16,1,8,13
Comet,,15,9,6,11,4,19,16,1
Red Number 3,,20,5,9,14,11,6,9,14
