Team,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8
Balls of Chaos,15,9,2,14,15,10,15,3,
Green Ducks,10,5,8,11,7,13,7,4,
Hazers,9,2,3,5,5,5,2,15,
Hornets,8,7,16,13,9,7,11,12,
Limers,14,4,4,10,13,9,6,16,
Mellow Yellow,4,8,10,3,1,3,9,9,
Midnight Wisps,11,1,14,4,6,11,5,7,
O'rangers,1,15,11,2,2,14,4,11,
Raspberry Racers,6,3,12,6,12,16,14,6,
Rojo Rollers,12,14,9,15,8,6,8,10,
Savage Speeders,16,6,7,7,11,2,3,1,
Snowballs,5,13,15,1,10,12,12,8,
Team Galactic,2,12,5,9,14,15,13,14,
Team Momo,3,11,13,16,4,4,1,2,
Team Primary,7,16,1,12,16,1,16,5,
Thunderbolts,13,10,6,8,3,8,10,13,
