Team,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8
Balls of Chaos,11,10,1,15,12,15,5,
Green Ducks,8,1,4,13,9,9,11,
Hazers,2,3,3,4,11,8,1,
Hornets,13,9,11,7,14,14,15,
Limers,16,4,10,11,4,16,14,
Mellow Yellow,9,7,15,5,3,5,10,
Midnight Wisps,10,16,12,3,7,13,4,
O'rangers,6,14,5,8,1,10,2,
Raspberry Racers,7,8,14,6,10,12,9,
Rojo Rollers,2,13,8,10,5,6,6,
Savage Speeders,5,2,6,2,15,3,7,
Snowballs,3,6,9,14,13,1,13,
Team Galactic,1,12,7,1,8,11,8,
Team Momo,12,11,16,9,6,7,3,
Team Primary,4,15,2,16,16,4,16,
Thunderbolts,15,5,13,12,2,2,12,
