Team,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8
Savage Speeders,11,29,37,55,55,70,76,101
Hazers,18,33,48,61,61,65,90,94
O'rangers,8,8,19,23,48,50,69,69
Snowballs,15,23,25,25,25,60,50,66
Team Galactic,25,25,31,56,60,60,64,64
Green Ducks,4,30,42,42,44,46,46,64
Team Primary,12,12,30,30,30,42,42,54
Thunderbolts,0,10,10,10,29,47,47,49
Balls of Chaos,0,1,26,26,26,26,36,46
Mellow Yellow,2,8,8,18,33,43,44,44
Team Momo,0,0,0,2,10,16,31,39
Midnight Wisps,1,1,1,16,22,22,34,34
Rojo Rollers,0,0,4,5,15,23,31,32
Raspberry Racers,6,10,10,18,19,19,21,27
Limers,0,12,13,13,25,25,25,25
Hornets,0,2,2,5,8,8,8,8
