Team,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8
Savage Speeders,11,18,8,18,0,15,6,25
Hazers,18,15,15,13,0,4,25,4
O'rangers,8,0,11,4,25,2,19,0
Snowballs,15,8,2,0,0,35,-10,16
Team Galactic,25,0,6,25,4,0,4,0
Green Ducks,4,26,12,0,2,2,0,18
Team Primary,12,0,18,0,0,12,0,12
Thunderbolts,0,10,0,0,19,18,0,2
Balls of Chaos,0,1,25,0,0,0,10,10
Mellow Yellow,2,6,0,10,15,10,1,0
Team Momo,0,0,0,2,8,6,15,8
Midnight Wisps,1,0,0,15,6,0,12,0
Rojo Rollers,0,0,4,1,10,8,8,1
Raspberry Racers,6,4,0,8,1,0,2,6
Limers,0,12,1,0,12,0,0,0
Hornets,0,2,0,3,3,0,0,0
